title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,url,categoryName,address,location,latitude,longitude,prices
Omoide Yokocho Memory Lane,4.2,14239,1 Chome-2 Nishishinjuku,Shinjuku,Tokyo,JP,http://shinjuku-omoide.com/,,Tourist attraction,Business park,Restaurant,,,,,https://www.google.com/maps/search/?api=1&query=Omoide%20Yokocho%20Memory%20Lane&query_place_id=ChIJP9eKBdeMGGAR0zzBXJNVj5A,Tourist attraction,"1 Chome-2 Nishishinjuku, Shinjuku, Tokyo, Japan","思い出横丁, 西新宿一丁目, 西新宿, 新宿区, 東京都, 160-0023, 日本",35.6930689,139.6995016,0
Nakamise Shopping Street,4.3,14884,1 Chome-36-3 Asakusa,Taito,Tokyo,JP,http://www.asakusa-nakamise.jp/,+81 3-3844-3350,Tourist attraction,Market,Shopping mall,,,,,https://www.google.com/maps/search/?api=1&query=Nakamise%20Shopping%20Street&query_place_id=ChIJPd37MMGOGGARvJ2hfxoiNVE,Tourist attraction,"1 Chome-36-3 Asakusa, Taito, Tokyo, Japan","浅草一丁目, 浅草, 台東区, 東京都, 110-0032, 日本",35.7119497,139.7948545,0
Godzilla Statue,3.8,2533,1 Chome-3-2 Yurakucho,Chiyoda,Tokyo,JP,,+81 3-3591-9001,Tourist attraction,Cultural landmark,,,,,,https://www.google.com/maps/search/?api=1&query=Godzilla%20Statue&query_place_id=ChIJj9FCzO-LGGARv0qenUaDws4,Tourist attraction,"1 Chome-3-2 Yurakucho, Chiyoda, Tokyo, Japan","有楽町一丁目, 有楽町, 千代田区, 東京都, 100-0006, 日本",35.674483,139.76055,0
Meiji Jingu,4.6,48666,1-1 Yoyogikamizonocho,Shibuya,Tokyo,JP,https://www.meijijingu.or.jp/,+81 3-3379-5511,Shinto shrine,Tourist attraction,,,,,,https://www.google.com/maps/search/?api=1&query=Meiji%20Jingu&query_place_id=ChIJ5SZMmreMGGARcz8QSTiJyo8,Shinto shrine,"1-1 Yoyogikamizonocho, Shibuya, Tokyo, Japan","明治神宮, 1, 代々木神園町, 渋谷区, 東京都, 151-8557, 日本",35.6748417,139.6996266,0
Tokyo Dome City,4.3,10091,1 Chome-3-61 Koraku,Bunkyo,Tokyo,JP,https://www.tokyo-dome.co.jp/,,Amusement center,Business park,Shopping mall,Tourist attraction,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Dome%20City&query_place_id=ChIJuxkVQeCNGGARfFgbeDEPG6g,Amusement center,"1 Chome-3-61 Koraku, Bunkyo, Tokyo, Japan","東京ドーム, 61, 後楽一丁目, 後楽, 文京区, 東京都, 112-0004, 日本",35.7055706,139.7519705,0
Hamarikyu Gardens,4.4,11981,1-1 Hamarikyuteien,Chuo,Tokyo,JP,https://www.tokyo-park.or.jp/park/hama-rikyu/,+81 3-3541-0200,Garden,Playground,Tourist attraction,,,,,https://www.google.com/maps/search/?api=1&query=Hamarikyu%20Gardens&query_place_id=ChIJwfegutyLGGARGjiY-L2eSps,Garden,"1-1 Hamarikyuteien, Chuo, Tokyo, Japan","住友不動産汐留浜離宮ビル, 首都高速都心環状線, 銀座八丁目, 銀座, 中央区, 東京都, 104-0061, 日本",35.6642262,139.7640453,300
Tokyo Dome City Attractions,4.1,12894,1 Chome-3-61 Koraku,Bunkyo,Tokyo,JP,https://at-raku.com/,+81 3-3817-6001,Amusement park,,,,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Dome%20City%20Attractions&query_place_id=ChIJCRf6uziMGGARcsRCJYCKKUQ,Amusement park,"1 Chome-3-61 Koraku, Bunkyo, Tokyo, Japan","東京ドーム, 61, 後楽一丁目, 後楽, 文京区, 東京都, 112-0004, 日本",35.7055706,139.7519705,0
Hachiko Statue,4.4,24259,2 Chome-1 Dogenzaka,Shibuya,Tokyo,JP,https://www.city.shibuya.tokyo.jp/bunka/bunkazai/midokoro/map_exe_shibuya_station.html,+81 3-3463-2376,Sculpture,Monument,Tourist attraction,,,,,https://www.google.com/maps/search/?api=1&query=Hachiko%20Statue&query_place_id=ChIJx1e971eLGGARum8w_tnpFwI,Sculpture,"2 Chome-1 Dogenzaka, Shibuya, Tokyo, Japan","Bunkamura, 1, 道玄坂二丁目, 道玄坂, 渋谷区, 東京都, 150-8507, 日本",35.6606997,139.695148,0
Godzilla Head,4.4,4223,1 Chome-19-1 Kabukicho,Shinjuku,Tokyo,JP,https://www.toho.co.jp/shinjukutoho/,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Godzilla%20Head&query_place_id=ChIJzRzI3HSNGGARRwZW6AtJfi0,Tourist attraction,"1 Chome-19-1 Kabukicho, Shinjuku, Tokyo, Japan","新宿東宝ビル, 1, 歌舞伎町一丁目, 歌舞伎町, 新宿区, 東京都, 160-0021, 日本",35.6953637,139.7020314,0
Ninja Trick House In Tokyo,4.4,415,"Kabukicho, 2 Chome−28−13 第一和幸ビル 4階",Shinjuku,Tokyo,JP,https://ninja-trick-house.com/,+81 3-6457-3337,Amusement center,Tourist attraction,,,,,,https://www.google.com/maps/search/?api=1&query=Ninja%20Trick%20House%20In%20Tokyo&query_place_id=ChIJPQSrYNiMGGARwlBNXP_on_E,Amusement center,"Kabukicho, 2 Chome−28−13 第一和幸ビル 4階, Shinjuku, Tokyo, Japan","歌舞伎町, 新宿区, 東京都, 160-0021, 日本",35.6945429,139.7027105,4378
Tokyo Skytree Town,4.5,12078,1 Chome-1 Oshiage,Sumida,Tokyo,JP,https://www.tokyo-solamachi.jp/skytreetown/,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Skytree%20Town&query_place_id=ChIJiXsyjf-PGGAR3G9iaPQ3tj8,Tourist attraction,"1 Chome-1 Oshiage, Sumida, Tokyo, Japan","東京スカイツリー, 2, 押上一丁目, 押上, 墨田区, 東京都, 131-0045, 日本",35.7100543,139.8107141,0
Remains of Tokyo Prefectural Office,3.8,23,3 Chome-5-1 Marunouchi,Chiyoda,Tokyo,JP,,,Tourist attraction,Historical landmark,,,,,,https://www.google.com/maps/search/?api=1&query=Remains%20of%20Tokyo%20Prefectural%20Office&query_place_id=ChIJP0Kk4PqLGGARJ3adoHhSblc,Tourist attraction,"3 Chome-5-1 Marunouchi, Chiyoda, Tokyo, Japan","東京国際フォーラム, 1, 丸の内三丁目, 丸の内, 千代田区, 東京都, 100-0005, 日本",35.6767901,139.7635414,0
Tokyo Joypolis,4,7443,"Daiba, 1 Chome−6−1 DECKS Tokyo Beach, 3F～5F",Minato,Tokyo,JP,https://tokyo-joypolis.com/index.html,+81 3-5500-1801,Tourist attraction,Theme park,Amusement park,,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Joypolis&query_place_id=ChIJuTdPXvaJGGARJhT_Ai6urFQ,Tourist attraction,"Daiba, 1 Chome−6−1 DECKS Tokyo Beach, 3F～5F, Minato, Tokyo, Japan","ジョイポリス, 台場青海線, 台場一丁目, 台場, 港区, 東京都, 135-0091, 日本",35.6287179,139.7753038,1500
Tokyo Tower,4.1,141,4 Chome-2-8 Shibakoen,Minato,Tokyo,JP,https://www.tokyotower.co.jp/,+81 3-3433-5111,Tourist attraction,Observation deck,,,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Tower&query_place_id=ChIJ4_ZvIgCLGGARLUI8wFAnNA0,Tourist attraction,"4 Chome-2-8 Shibakoen, Minato, Tokyo, Japan","東京タワー, 東京タワー通り, 芝公園四丁目, 芝公園, 港区, 東京都, 106-0041, 日本",35.6584491,139.745536,1500
TOKYO Word Mark Monument,4,57,1 Chome Aomi,Koto,Tokyo,JP,https://www.bousai.metro.tokyo.lg.jp/taisaku/torikumi/1000216/1023301/1023303.html,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=TOKYO%20Word%20Mark%20Monument&query_place_id=ChIJyVdfgWGJGGAR1vj5VaRAois,Tourist attraction,"1 Chome Aomi, Koto, Tokyo, Japan","ダイバーシティ東京, 10, 青海四丁目, 青海, 江東区, 東京都, 135-0064, 日本",35.625316,139.7758804,0
Kikyō-mon Gate,4.3,925,1-1 Chiyoda,Chiyoda,Tokyo,JP,https://sankan.kunaicho.go.jp/multilingual/koukyo/place01.html,,Tourist attraction,Cultural landmark,Heritage building,Historical landmark,,,,https://www.google.com/maps/search/?api=1&query=Kiky%C5%8D-mon%20Gate&query_place_id=ChIJmdef7AmMGGARhKjmuJGUSNs,Tourist attraction,"1-1 Chiyoda, Chiyoda, Tokyo, Japan","皇居, 1, 千代田, 千代田区, 東京都, 100-0001, 日本",35.6838467,139.7506859,0
Asakusa Hanayashiki,4.1,6768,2 Chome-28-1 Asakusa,Taito,Tokyo,JP,https://www.hanayashiki.net/,,Tourist attraction,Amusement park ride,Children's amusement center,Performing arts theater,Theme park,Amusement park,,https://www.google.com/maps/search/?api=1&query=Asakusa%20Hanayashiki&query_place_id=ChIJPXcZIsCOGGARsYimyXoHsms,Tourist attraction,"2 Chome-28-1 Asakusa, Taito, Tokyo, Japan","浅草花やしき, 1, 浅草二丁目, 浅草, 台東区, 東京都, 111-0032, 日本",35.7154975,139.7946127,1600
Kan'non-dōri,4.4,94,1 Chome-2-11 Asakusa,Taito,Tokyo,JP,,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Kan'non-d%C5%8Dri&query_place_id=ChIJPeqkK0uPGGART-oS1xslc2c,Tourist attraction,"1 Chome-2-11 Asakusa, Taito, Tokyo, Japan","浅草一丁目, 浅草, 台東区, 東京都, 110-0032, 日本",35.7119497,139.7948545,0
Snake Mound,4.1,96,4 Chome-3 Shibakoen,Minato,Tokyo,JP,,,Tourist attraction,Place of worship,Historical landmark,,,,,https://www.google.com/maps/search/?api=1&query=Snake%20Mound&query_place_id=ChIJQRMvwr2LGGARC3GHLt8p1wY,Tourist attraction,"4 Chome-3 Shibakoen, Minato, Tokyo, Japan","32芝公園ビル, 30, 芝公園三丁目, 芝公園, 港区, 東京都, 105-0011, 日本",35.6588228,139.74642,0
Kiyosumi Park,4.2,1612,2 Chome-2 Kiyosumi,Koto,Tokyo,JP,https://www.tokyo-park.or.jp/park/format/index033.html,+81 3-3641-5892,Tourist attraction,Park,,,,,,https://www.google.com/maps/search/?api=1&query=Kiyosumi%20Park&query_place_id=ChIJHbb1xz-JGGAR9l2MvXPsc-E,Tourist attraction,"2 Chome-2 Kiyosumi, Koto, Tokyo, Japan","清澄二丁目, 清澄, 江東区, 東京都, 135-0024, 日本",35.681383,139.795877,0
Cat Street,4.5,66,旧渋谷川遊歩道路,Shibuya,Tokyo,JP,,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Cat%20Street&query_place_id=ChIJbQP4obCNGGARd8hiRA_lrn0,Tourist attraction,"旧渋谷川遊歩道路, Shibuya, Tokyo, Japan","キャットストリート, 神宮前六丁目, 神宮前, 渋谷区, 東京都, 150-0001, 日本",35.6658625,139.7051482,0
Statue of Liberty,4.5,4417,1 Chome-4-2 Daiba,Minato,Tokyo,JP,,,Tourist attraction,Cultural landmark,Sculpture,,,,,https://www.google.com/maps/search/?api=1&query=Statue%20of%20Liberty&query_place_id=ChIJp_dRJOOLGGARo5GGDjBnfrw,Tourist attraction,"1 Chome-4-2 Daiba, Minato, Tokyo, Japan","台場一丁目, 台場, 港区, 東京都, 135-0091, 日本",35.6308488,139.7783151,0
Shiomizaka,3.6,16,3 Chome-1 Kasumigaseki,Chiyoda,Tokyo,JP,,,Tourist attraction,Historical landmark,,,,,,https://www.google.com/maps/search/?api=1&query=Shiomizaka&query_place_id=ChIJ6RMaaYyLGGARrEUqTcQGZmM,Tourist attraction,"3 Chome-1 Kasumigaseki, Chiyoda, Tokyo, Japan","財務省, 1, 霞が関三丁目, 霞が関, 千代田区, 東京都, 100-8940, 日本",35.6725691,139.7492233,0
Kawazu-Zakura next to Tokyo Skytree,4.5,200,1 Chome-18 Narihira,Sumida,Tokyo,JP,,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Kawazu-Zakura%20next%20to%20Tokyo%20Skytree&query_place_id=ChIJVwOyMtGOGGARGiZFoX3b5Ig,Tourist attraction,"1 Chome-18 Narihira, Sumida, Tokyo, Japan","壱角家, 4, 業平一丁目, 業平, 墨田区, 東京都, 130-0002, 日本",35.7091454,139.8086838,0
The Place of Death of Date Masamune,3.8,130,1 Hibiyakoen,Chiyoda,Tokyo,JP,http://www.city.sendai.jp/tokyojimu/shise/tokyo/masamuneko/kamiyashiki1.html,+81 3-3501-6428,Tourist attraction,Historical landmark,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Place%20of%20Death%20of%20Date%20Masamune&query_place_id=ChIJVzm4lvGLGGARQcfrzMS4DcA,Tourist attraction,"1 Hibiyakoen, Chiyoda, Tokyo, Japan","日比谷 松本楼, 2, 日比谷公園, 千代田区, 東京都, 100-0012, 日本",35.6737913,139.7558071,0
Tokyo Station Marunouchi South Gate Dome,4.6,53,"Marunouchi, 1 Chome−9 東京駅",Chiyoda,Tokyo,JP,http://www.tokyostationcity.com/learning/station_building/,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Station%20Marunouchi%20South%20Gate%20Dome&query_place_id=ChIJmduuOACLGGARiCzrBoq9fVU,Tourist attraction,"Marunouchi, 1 Chome−9 東京駅, Chiyoda, Tokyo, Japan","東京, 1, 丸の内一丁目, 丸の内, 千代田区, 東京都, 100-0005, 日本",35.6812546,139.766706,0
Namiki Dōri Street,4.1,55,3 Chome Ginza,Chuo,Tokyo,JP,,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Namiki%20D%C5%8Dri%20Street&query_place_id=ChIJie-XJjSLGGARkF7l_8BMlUM,Tourist attraction,"3 Chome Ginza, Chuo, Tokyo, Japan","ゆうちょ銀行, 中央通り, 銀座二丁目, 銀座, 中央区, 東京都, 104-0061, 日本",35.67325,139.7675914,0
Shinjuku Gyoen Cherry Tree Area,4.7,283,6 Chome-1 Sendagaya,Shibuya,Tokyo,JP,,+81 3-3350-0151,Tourist attraction,Garden,Park,Scenic spot,Arboretum,,,https://www.google.com/maps/search/?api=1&query=Shinjuku%20Gyoen%20Cherry%20Tree%20Area&query_place_id=ChIJAz6oc8CMGGARxoIUXZ8nOE4,Tourist attraction,"6 Chome-1 Sendagaya, Shibuya, Tokyo, Japan","千駄ヶ谷六丁目, 千駄ヶ谷, 渋谷区, 東京都, 151-0051, 日本",35.6844266,139.7067538,500
Hoppy Street ホッピー通り,4.3,87,"Hoppy St, 2 Chome Asakusa",Taito,Tokyo,JP,,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Hoppy%20Street%20%E3%83%9B%E3%83%83%E3%83%94%E3%83%BC%E9%80%9A%E3%82%8A&query_place_id=ChIJayy-GVqPGGAR07s0NLZ304g,Tourist attraction,"Hoppy St, 2 Chome Asakusa, Taito, Tokyo, Japan","ホッピー通り, 浅草二丁目, 浅草, 台東区, 東京都, 111-0032, 日本",35.7137623,139.7942208,0
Meguro Sky Garden,4.2,1893,1 Chome-9-2 Ohashi,Meguro,Tokyo,JP,https://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/tenku.html,+81 3-3464-1612,Tourist attraction,Park,Garden,,,,,https://www.google.com/maps/search/?api=1&query=Meguro%20Sky%20Garden&query_place_id=ChIJswoXvqv0GGAR-zUHKpl4s0k,Tourist attraction,"1 Chome-9-2 Ohashi, Meguro, Tokyo, Japan","大橋一丁目, 大橋, 目黒区, 東京都, 日本",35.6512505,139.6883243,0
Orange Street,4.2,125,1 Chome-21-6 Asakusa,Taito,Tokyo,JP,http://orange-st.jp/,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Orange%20Street&query_place_id=ChIJxyhRxsCOGGARX34V_KuLRJg,Tourist attraction,"1 Chome-21-6 Asakusa, Taito, Tokyo, Japan","浅草一丁目, 浅草, 台東区, 東京都, 110-0032, 日本",35.7119497,139.7948545,0
Ueno Park,4.4,33111,Uenokoen,Taito,Tokyo,JP,https://www.kensetsu.metro.tokyo.lg.jp/jimusho/toubuk/ueno,+81 3-3828-5644,Park,State park,,,,,,https://www.google.com/maps/search/?api=1&query=Ueno%20Park&query_place_id=ChIJw2qQRZuOGGARWmROEiM2y7E,Park,"Uenokoen, Taito, Tokyo, Japan","上野公園, 台東区, 東京都, 110-0007, 日本",35.7152915,139.7738278,0
Marunouchi Tokyo Station Square,4.5,4818,1 Chome-9 Marunouchi,Chiyoda,Tokyo,JP,http://www.jreast.co.jp/construction/station/,,Tourist attraction,Park,,,,,,https://www.google.com/maps/search/?api=1&query=Marunouchi%20Tokyo%20Station%20Square&query_place_id=ChIJAylxefmLGGARmouNFJGoD3E,Tourist attraction,"1 Chome-9 Marunouchi, Chiyoda, Tokyo, Japan","東京, 1, 丸の内一丁目, 丸の内, 千代田区, 東京都, 100-0005, 日本",35.6812546,139.766706,0
Yaesu Sakura Street (Sakura Dori),3.5,10,Sakura Dōri St,Chuo,Tokyo,JP,,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Yaesu%20Sakura%20Street%20(Sakura%20Dori)&query_place_id=ChIJz3jXoCmLGGARE3jZ4GyrN1s,Tourist attraction,"Sakura Dōri St, Chuo, Tokyo, Japan","さくら通り, 日本橋三丁目, 日本橋, 中央区, 東京都, 103-0027, 日本",35.6803371,139.7735335,0
Mt. Atago,4.5,679,1 Chome-5 Atago,Minato,Tokyo,JP,,,Tourist attraction,Nature preserve,,,,,,https://www.google.com/maps/search/?api=1&query=Mt.%20Atago&query_place_id=ChIJaU-cdJSLGGAR_Kcus8fkTGE,Tourist attraction,"1 Chome-5 Atago, Minato, Tokyo, Japan","愛宕, 港区, 東京都, 日本",35.6641672,139.7488201,0
Tokyo Camii & Diyanet Turkish Culture Center,4.7,3707,1-19 Ōyamachō,Shibuya,Tokyo,JP,https://tokyocamii.org/ja/,+81 3-5790-0760,Tourist attraction,Book publisher,Book store,Civic center,Cultural center,General store,Mosque,https://www.google.com/maps/search/?api=1&query=Tokyo%20Camii%20%26%20Diyanet%20Turkish%20Culture%20Center&query_place_id=ChIJFUO-WUfzGGARhzhX4px1Jsc,Tourist attraction,"1-19 Ōyamachō, Shibuya, Tokyo, Japan","大山町, 渋谷区, 東京都, 日本",35.6691581,139.6756865,0
Tokyo Station Gallery,4.3,2414,1 Chome-9-1 Marunouchi,Chiyoda,Tokyo,JP,http://www.ejrcf.or.jp/gallery/,+81 3-3212-2485,Tourist attraction,Art gallery,Art museum,,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Station%20Gallery&query_place_id=ChIJtxODuv6LGGAR4xf7X3WayX0,Tourist attraction,"1 Chome-9-1 Marunouchi, Chiyoda, Tokyo, Japan","東京, 1, 丸の内一丁目, 丸の内, 千代田区, 東京都, 100-0005, 日本",35.6812546,139.766706,1300
Takeshita Street,4.2,1306,1 Chome-16-6 Jingumae,Shibuya,Tokyo,JP,https://www.takeshita-street.com/,,Tourist attraction,,,,,,,https://www.google.com/maps/search/?api=1&query=Takeshita%20Street&query_place_id=ChIJL51pWnmNGGAR-e2hoAztmTQ,Tourist attraction,"1 Chome-16-6 Jingumae, Shibuya, Tokyo, Japan","神宮前一丁目, 神宮前, 渋谷区, 東京都, 150-0001, 日本",35.671513,139.7057319,0
Unicorn Gundam,4.6,28052,"Aomi, 1 Chome−1−10 ダイバーシティ東京プラザ内 2Fフェスティバル広場",Koto,Tokyo,JP,https://www.unicorn-gundam-statue.jp/,,Tourist attraction,Exhibit,,,,,,https://www.google.com/maps/search/?api=1&query=Unicorn%20Gundam&query_place_id=ChIJF6xTyvmJGGARU8t5NIqkNeI,Tourist attraction,"Aomi, 1 Chome−1−10 ダイバーシティ東京プラザ内 2Fフェスティバル広場, Koto, Tokyo, Japan","Gundam ユニコーン RX-0 1:1 Statue, センタープロムナード, 青海四丁目, 青海, 江東区, 東京都, 135-0064, 日本",35.624438,139.7754905,0
teamLab Planets TOKYO DMM,4.5,49464,6 Chome-1-16 Toyosu,Koto,Tokyo,JP,https://www.teamlab.art/jp/e/planets/,,Tourist attraction,Museum,Theme park,Modern art museum,,,,https://www.google.com/maps/search/?api=1&query=teamLab%20Planets%20TOKYO%20DMM&query_place_id=ChIJSeco5wiJGGARItbTS8lQ5G0,Tourist attraction,"6 Chome-1-16 Toyosu, Koto, Tokyo, Japan","チームラボ プラネッツ, 16, 豊洲六丁目, 豊洲, 江東区, 東京都, 135-0061, 日本",35.64938,139.789728,4800
Wadakura Fountain Park,4.3,2496,3-1 Kokyogaien,Chiyoda,Tokyo,JP,https://fng.or.jp/koukyo/place/historical/ruins-gaien/wadakurafountainpark,+81 3-3213-0095,Tourist attraction,Park,National park,,,,,https://www.google.com/maps/search/?api=1&query=Wadakura%20Fountain%20Park&query_place_id=ChIJV4TDwfeLGGARZZY83rpWpSA,Tourist attraction,"3-1 Kokyogaien, Chiyoda, Tokyo, Japan","和田倉噴水公園, 皇居外苑, 千代田区, 東京都, 100-0002, 日本",35.6832331,139.7609356,0
Tokyo Metropolitan Government Building - Tokyo Tourist Information Center,4.4,63,"Nishishinjuku, 2 Chome−8−1 Tochomae Station, 1階",Shinjuku,Tokyo,JP,https://www.gotokyo.org/jp/plan/tourist-info-center/index.html#center1,,Tourist information center,,,,,,,https://www.google.com/maps/search/?api=1&query=Tokyo%20Metropolitan%20Government%20Building%20-%20Tokyo%20Tourist%20Information%20Center&query_place_id=ChIJoTcat9SMGGARhSXgKSW6QC8,Tourist information center,"Nishishinjuku, 2 Chome−8−1 Tochomae Station, 1階, Shinjuku, Tokyo, Japan","日土地西新宿ビル, 1, 西新宿六丁目, 西新宿, 新宿区, 東京都, 160-0023, 日本",35.6945819,139.6908403,0
