"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","url","categoryName"
"Nakamise Shopping Street","4.3","14884","1 Chome-36-3 Asakusa","Taito City","Tokyo","JP","http://www.asakusa-nakamise.jp/","+81 3-3844-3350","Tourist attraction","Market","Shopping mall",,,,,"https://www.google.com/maps/search/?api=1&query=Nakamise%20Shopping%20Street&query_place_id=ChIJPd37MMGOGGARvJ2hfxoiNVE","Tourist attraction"
"Godzilla Statue","3.8","2533","1 Chome-3-2 Yurakucho","Chiyoda City","Tokyo","JP",,"+81 3-3591-9001","Tourist attraction","Cultural landmark",,,,,,"https://www.google.com/maps/search/?api=1&query=Godzilla%20Statue&query_place_id=ChIJj9FCzO-LGGARv0qenUaDws4","Tourist attraction"
"Meiji Jingu","4.6","48666","1-1 Yoyogikamizonocho","Shibuya","Tokyo","JP","https://www.meijijingu.or.jp/","+81 3-3379-5511","Shinto shrine","Tourist attraction",,,,,,"https://www.google.com/maps/search/?api=1&query=Meiji%20Jingu&query_place_id=ChIJ5SZMmreMGGARcz8QSTiJyo8","Shinto shrine"
"Tokyo Dome City","4.3","10091","1 Chome-3-61 Koraku","Bunkyo City","Tokyo","JP","https://www.tokyo-dome.co.jp/",,"Amusement center","Business park","Shopping mall","Tourist attraction",,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Dome%20City&query_place_id=ChIJuxkVQeCNGGARfFgbeDEPG6g","Amusement center"
"Hamarikyu Gardens","4.4","11981","1-1 Hamarikyuteien","Chuo City","Tokyo","JP","https://www.tokyo-park.or.jp/park/hama-rikyu/","+81 3-3541-0200","Garden","Playground","Tourist attraction",,,,,"https://www.google.com/maps/search/?api=1&query=Hamarikyu%20Gardens&query_place_id=ChIJwfegutyLGGARGjiY-L2eSps","Garden"
"Tokyo Dome City Attractions","4.1","12894","1 Chome-3-61 Koraku","Bunkyo City","Tokyo","JP","https://at-raku.com/","+81 3-3817-6001","Amusement park",,,,,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Dome%20City%20Attractions&query_place_id=ChIJCRf6uziMGGARcsRCJYCKKUQ","Amusement park"
"Hachiko Statue","4.4","24259","2 Chome-1 Dogenzaka","Shibuya","Tokyo","JP","https://www.city.shibuya.tokyo.jp/bunka/bunkazai/midokoro/map_exe_shibuya_station.html","+81 3-3463-2376","Sculpture","Monument","Tourist attraction",,,,,"https://www.google.com/maps/search/?api=1&query=Hachiko%20Statue&query_place_id=ChIJx1e971eLGGARum8w_tnpFwI","Sculpture"
"Godzilla Head","4.4","4223","1 Chome-19-1 Kabukicho","Shinjuku City","Tokyo","JP","https://www.toho.co.jp/shinjukutoho/",,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Godzilla%20Head&query_place_id=ChIJzRzI3HSNGGARRwZW6AtJfi0","Tourist attraction"
"Ninja Trick House In Tokyo","4.4","415","Kabukicho, 2 Chome−28−13 第一和幸ビル 4階","Shinjuku City","Tokyo","JP","https://ninja-trick-house.com/","+81 3-6457-3337","Amusement center","Tourist attraction",,,,,,"https://www.google.com/maps/search/?api=1&query=Ninja%20Trick%20House%20In%20Tokyo&query_place_id=ChIJPQSrYNiMGGARwlBNXP_on_E","Amusement center"
"Tokyo Skytree Town","4.5","12078","1 Chome-1 Oshiage","Sumida City","Tokyo","JP","https://www.tokyo-solamachi.jp/skytreetown/",,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Skytree%20Town&query_place_id=ChIJiXsyjf-PGGAR3G9iaPQ3tj8","Tourist attraction"
"Remains of Tokyo Prefectural Office","3.8","23","3 Chome-5-1 Marunouchi","Chiyoda City","Tokyo","JP",,,"Tourist attraction","Historical landmark",,,,,,"https://www.google.com/maps/search/?api=1&query=Remains%20of%20Tokyo%20Prefectural%20Office&query_place_id=ChIJP0Kk4PqLGGARJ3adoHhSblc","Tourist attraction"
"Tokyo Joypolis","4","7443","Daiba, 1 Chome−6−1 DECKS Tokyo Beach, 3F～5F","Minato City","Tokyo","JP","https://tokyo-joypolis.com/index.html","+81 3-5500-1801","Tourist attraction","Theme park","Amusement park",,,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Joypolis&query_place_id=ChIJuTdPXvaJGGARJhT_Ai6urFQ","Tourist attraction"
"Tokyo Tower","4.1","141","4 Chome-2-8 Shibakoen","Minato City","Tokyo","JP","https://www.tokyotower.co.jp/","+81 3-3433-5111","Tourist attraction","Observation deck",,,,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Tower&query_place_id=ChIJ4_ZvIgCLGGARLUI8wFAnNA0","Tourist attraction"
"TOKYO Word Mark Monument","4","57","1 Chome Aomi","Koto City","Tokyo","JP","https://www.bousai.metro.tokyo.lg.jp/taisaku/torikumi/1000216/1023301/1023303.html",,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=TOKYO%20Word%20Mark%20Monument&query_place_id=ChIJyVdfgWGJGGAR1vj5VaRAois","Tourist attraction"
"Kikyō-mon Gate","4.3","925","1-1 Chiyoda","Chiyoda City","Tokyo","JP","https://sankan.kunaicho.go.jp/multilingual/koukyo/place01.html",,"Tourist attraction","Cultural landmark","Heritage building","Historical landmark",,,,"https://www.google.com/maps/search/?api=1&query=Kiky%C5%8D-mon%20Gate&query_place_id=ChIJmdef7AmMGGARhKjmuJGUSNs","Tourist attraction"
"Maple Waterfall","4.2","178","4 Chome-3-25 Shibakoen","Minato City","Tokyo","JP",,,"Tourist attraction","Scenic spot",,,,,,"https://www.google.com/maps/search/?api=1&query=Maple%20Waterfall&query_place_id=ChIJKbFrx72LGGAR1uyToVEdITo","Tourist attraction"
"Asakusa Hanayashiki","4.1","6768","2 Chome-28-1 Asakusa","Taito City","Tokyo","JP","https://www.hanayashiki.net/",,"Tourist attraction","Amusement park ride","Children's amusement center","Performing arts theater","Theme park","Amusement park",,"https://www.google.com/maps/search/?api=1&query=Asakusa%20Hanayashiki&query_place_id=ChIJPXcZIsCOGGARsYimyXoHsms","Tourist attraction"
"Kan'non-dōri","4.4","94","1 Chome-2-11 Asakusa","Taito City","Tokyo","JP",,,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Kan'non-d%C5%8Dri&query_place_id=ChIJPeqkK0uPGGART-oS1xslc2c","Tourist attraction"
"Snake Mound","4.1","96","4 Chome-3 Shibakoen","Minato City","Tokyo","JP",,,"Tourist attraction","Place of worship","Historical landmark",,,,,"https://www.google.com/maps/search/?api=1&query=Snake%20Mound&query_place_id=ChIJQRMvwr2LGGARC3GHLt8p1wY","Tourist attraction"
"Kiyosumi Park","4.2","1612","2 Chome-2 Kiyosumi","Koto City","Tokyo","JP","https://www.tokyo-park.or.jp/park/format/index033.html","+81 3-3641-5892","Tourist attraction","Park",,,,,,"https://www.google.com/maps/search/?api=1&query=Kiyosumi%20Park&query_place_id=ChIJHbb1xz-JGGAR9l2MvXPsc-E","Tourist attraction"
"Cat Street","4.5","66","旧渋谷川遊歩道路","Shibuya","Tokyo","JP",,,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Cat%20Street&query_place_id=ChIJbQP4obCNGGARd8hiRA_lrn0","Tourist attraction"
"Statue of Liberty","4.5","4417","1 Chome-4-2 Daiba","Minato City","Tokyo","JP",,,"Tourist attraction","Cultural landmark","Sculpture",,,,,"https://www.google.com/maps/search/?api=1&query=Statue%20of%20Liberty&query_place_id=ChIJp_dRJOOLGGARo5GGDjBnfrw","Tourist attraction"
"Shiomizaka","3.6","16","3 Chome-1 Kasumigaseki","Chiyoda City","Tokyo","JP",,,"Tourist attraction","Historical landmark",,,,,,"https://www.google.com/maps/search/?api=1&query=Shiomizaka&query_place_id=ChIJ6RMaaYyLGGARrEUqTcQGZmM","Tourist attraction"
"Kawazu-Zakura next to Tokyo Skytree","4.5","200","1 Chome-18 Narihira","Sumida City","Tokyo","JP",,,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Kawazu-Zakura%20next%20to%20Tokyo%20Skytree&query_place_id=ChIJVwOyMtGOGGARGiZFoX3b5Ig","Tourist attraction"
"The Place of Death of Date Masamune","3.8","130","1 Hibiyakoen","Chiyoda City","Tokyo","JP","http://www.city.sendai.jp/tokyojimu/shise/tokyo/masamuneko/kamiyashiki1.html","+81 3-3501-6428","Tourist attraction","Historical landmark",,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Place%20of%20Death%20of%20Date%20Masamune&query_place_id=ChIJVzm4lvGLGGARQcfrzMS4DcA","Tourist attraction"
"Tokyo Station Marunouchi South Gate Dome","4.6","53","Marunouchi, 1 Chome−9 東京駅","Chiyoda City","Tokyo","JP","http://www.tokyostationcity.com/learning/station_building/",,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Station%20Marunouchi%20South%20Gate%20Dome&query_place_id=ChIJmduuOACLGGARiCzrBoq9fVU","Tourist attraction"
"300 Year-Old Pine","4.5","283","1-1 Hamarikyuteien","Chuo City","Tokyo","JP",,,"Tourist attraction","Historical landmark","Scenic spot",,,,,"https://www.google.com/maps/search/?api=1&query=300%20Year-Old%20Pine&query_place_id=ChIJETsVn9yLGGARO6YBehyxOIQ","Tourist attraction"
"Namiki Dōri Street","4.1","55","3 Chome Ginza","Chuo City","Tokyo","JP",,,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Namiki%20D%C5%8Dri%20Street&query_place_id=ChIJie-XJjSLGGARkF7l_8BMlUM","Tourist attraction"
"Shinjuku Gyoen Cherry Tree Area","4.7","283","6 Chome-1 Sendagaya","Shibuya","Tokyo","JP",,"+81 3-3350-0151","Tourist attraction","Garden","Park","Scenic spot","Arboretum",,,"https://www.google.com/maps/search/?api=1&query=Shinjuku%20Gyoen%20Cherry%20Tree%20Area&query_place_id=ChIJAz6oc8CMGGARxoIUXZ8nOE4","Tourist attraction"
"First Flight Monument","3.8","40","2-2 Yoyogikamizonocho","Shibuya","Tokyo","JP","https://www.tokyo-park.or.jp/park/format/view039.html",,"Tourist attraction","Memorial","Historical landmark",,,,,"https://www.google.com/maps/search/?api=1&query=First%20Flight%20Monument&query_place_id=ChIJeySCGrOMGGARIDsbasNCJZQ","Tourist attraction"
"Hoppy Street ホッピー通り","4.3","87","Hoppy St, 2 Chome Asakusa","Taito City","Tokyo","JP",,,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Hoppy%20Street%20%E3%83%9B%E3%83%83%E3%83%94%E3%83%BC%E9%80%9A%E3%82%8A&query_place_id=ChIJayy-GVqPGGAR07s0NLZ304g","Tourist attraction"
"Meguro Sky Garden","4.2","1893","1 Chome-9-2 Ohashi","Meguro City","Tokyo","JP","https://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/tenku.html","+81 3-3464-1612","Tourist attraction","Park","Garden",,,,,"https://www.google.com/maps/search/?api=1&query=Meguro%20Sky%20Garden&query_place_id=ChIJswoXvqv0GGAR-zUHKpl4s0k","Tourist attraction"
"Orange Street","4.2","125","1 Chome-21-6 Asakusa","Taito City","Tokyo","JP","http://orange-st.jp/",,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Orange%20Street&query_place_id=ChIJxyhRxsCOGGARX34V_KuLRJg","Tourist attraction"
"Ueno Park","4.4","33111","Uenokoen","Taito City","Tokyo","JP","https://www.kensetsu.metro.tokyo.lg.jp/jimusho/toubuk/ueno","+81 3-3828-5644","Park","State park",,,,,,"https://www.google.com/maps/search/?api=1&query=Ueno%20Park&query_place_id=ChIJw2qQRZuOGGARWmROEiM2y7E","Park"
"Marunouchi Tokyo Station Square","4.5","4818","1 Chome-9 Marunouchi","Chiyoda City","Tokyo","JP","http://www.jreast.co.jp/construction/station/",,"Tourist attraction","Park",,,,,,"https://www.google.com/maps/search/?api=1&query=Marunouchi%20Tokyo%20Station%20Square&query_place_id=ChIJAylxefmLGGARmouNFJGoD3E","Tourist attraction"
"Yaesu Sakura Street (Sakura Dori)","3.5","10","Sakura Dōri St","Chuo City","Tokyo","JP",,,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Yaesu%20Sakura%20Street%20(Sakura%20Dori)&query_place_id=ChIJz3jXoCmLGGARE3jZ4GyrN1s","Tourist attraction"
"Mt. Atago","4.5","679","1 Chome-5 Atago","Minato City","Tokyo","JP",,,"Tourist attraction","Nature preserve",,,,,,"https://www.google.com/maps/search/?api=1&query=Mt.%20Atago&query_place_id=ChIJaU-cdJSLGGAR_Kcus8fkTGE","Tourist attraction"
"Tokyo Camii & Diyanet Turkish Culture Center","4.7","3707","1-19 Ōyamachō","Shibuya","Tokyo","JP","https://tokyocamii.org/ja/","+81 3-5790-0760","Tourist attraction","Book publisher","Book store","Civic center","Cultural center","General store","Mosque","https://www.google.com/maps/search/?api=1&query=Tokyo%20Camii%20%26%20Diyanet%20Turkish%20Culture%20Center&query_place_id=ChIJFUO-WUfzGGARhzhX4px1Jsc","Tourist attraction"
"Tokyo Station Gallery","4.3","2414","1 Chome-9-1 Marunouchi","Chiyoda City","Tokyo","JP","http://www.ejrcf.or.jp/gallery/","+81 3-3212-2485","Tourist attraction","Art gallery","Art museum",,,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Station%20Gallery&query_place_id=ChIJtxODuv6LGGAR4xf7X3WayX0","Tourist attraction"
"Ad Museum Tokyo","4.4","886","Catetta Shiodome, 1 Chome-8-2 Higashishinbashi","Minato City","Tokyo","JP","http://www.admt.jp/","+81 3-6218-2500","Tourist attraction","Museum",,,,,,"https://www.google.com/maps/search/?api=1&query=Ad%20Museum%20Tokyo&query_place_id=ChIJ2VtGysKLGGAR2oS8_Y_o-pk","Tourist attraction"
"Takeshita Street","4.2","1306","1 Chome-16-6 Jingumae","Shibuya","Tokyo","JP","https://www.takeshita-street.com/",,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Takeshita%20Street&query_place_id=ChIJL51pWnmNGGAR-e2hoAztmTQ","Tourist attraction"
"Unicorn Gundam","4.6","28052","Aomi, 1 Chome−1−10 ダイバーシティ東京プラザ内 2Fフェスティバル広場","Koto City","Tokyo","JP","https://www.unicorn-gundam-statue.jp/",,"Tourist attraction","Exhibit",,,,,,"https://www.google.com/maps/search/?api=1&query=Unicorn%20Gundam&query_place_id=ChIJF6xTyvmJGGARU8t5NIqkNeI","Tourist attraction"
"teamLab Planets TOKYO DMM","4.5","49464","6 Chome-1-16 Toyosu","Koto City","Tokyo","JP","https://www.teamlab.art/jp/e/planets/",,"Tourist attraction","Museum","Theme park","Modern art museum",,,,"https://www.google.com/maps/search/?api=1&query=teamLab%20Planets%20TOKYO%20DMM&query_place_id=ChIJSeco5wiJGGARItbTS8lQ5G0","Tourist attraction"
"Wadakura Fountain Park","4.3","2496","3-1 Kokyogaien","Chiyoda City","Tokyo","JP","https://fng.or.jp/koukyo/place/historical/ruins-gaien/wadakurafountainpark","+81 3-3213-0095","Tourist attraction","Park","National park",,,,,"https://www.google.com/maps/search/?api=1&query=Wadakura%20Fountain%20Park&query_place_id=ChIJV4TDwfeLGGARZZY83rpWpSA","Tourist attraction"
"Tokyo Metropolitan Government Building - Tokyo Tourist Information Center","4.4","63","Nishishinjuku, 2 Chome−8−1 Tochomae Station, 1階","Shinjuku City","Tokyo","JP","https://www.gotokyo.org/jp/plan/tourist-info-center/index.html#center1",,"Tourist information center",,,,,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Metropolitan%20Government%20Building%20-%20Tokyo%20Tourist%20Information%20Center&query_place_id=ChIJoTcat9SMGGARhSXgKSW6QC8","Tourist information center"
"Shiokaze Park","3.9","1478","1 Higashiyashio","Shinagawa City","Tokyo","JP","http://www.tptc.co.jp/park/01_03","+81 3-5500-0385","Tourist attraction","Park",,,,,,"https://www.google.com/maps/search/?api=1&query=Shiokaze%20Park&query_place_id=ChIJo9rFlRyKGGARxGX4YMCH2dA","Tourist attraction"
"Japan's Top 100 Streets (Ginza 3-chome)","4.2","10","3 Chome-6 Ginza","Chuo City","Tokyo","JP",,,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Japan's%20Top%20100%20Streets%20(Ginza%203-chome)&query_place_id=ChIJq59OWdWLGGAR_xmE8GbhogI","Tourist attraction"
"TOKYO TOWER TOURIST INFORMATION CENTER","4.5","24","4 Chome-2-8 Shibakoen","Minato City","Tokyo","JP",,"+81 3-6435-4661","Tourist information center",,,,,,,"https://www.google.com/maps/search/?api=1&query=TOKYO%20TOWER%20TOURIST%20INFORMATION%20CENTER&query_place_id=ChIJpUKFkL2LGGARd0tKtiugUbw","Tourist information center"
"Tokyo Dome","4.3","49456","1 Chome-3-61 Koraku","Bunkyo City","Tokyo","JP","https://www.tokyo-dome.co.jp/dome/",,"Tourist attraction","Baseball field","Fairground","Stadium",,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Dome&query_place_id=ChIJ89TugkeMGGARDmSeJIiyWFA","Tourist attraction"
"Hachiko Square","4.3","1435","2 Chome-1 Dogenzaka","Shibuya","Tokyo","JP",,"+81 3-3463-1211","Park",,,,,,,"https://www.google.com/maps/search/?api=1&query=Hachiko%20Square&query_place_id=ChIJZ5YbSXiLGGAR2bi7lKs5Wh0","Park"
"Yebisu Brewery Tokyo","4.3","4555","Ebisu, 4 Chome−20−1 ガーデンプレイス 内","Shibuya","Tokyo","JP","http://www.sapporobeer.jp/brewery/y_museum/index.html","+81 3-5423-7255","Tourist attraction","Bar","Heritage museum","Technology museum","Museum",,,"https://www.google.com/maps/search/?api=1&query=Yebisu%20Brewery%20Tokyo&query_place_id=ChIJY24wMRSLGGARdbDv6D2KdHE","Tourist attraction"
"Samurai Ninja Museum Asakusa Tokyo","4.9","17801","1 Chome-8-13 Nishiasakusa","Taito City","Tokyo","JP","https://mai-ko.com/samurai/","+81 3-5830-3888","Tourist attraction","Museum",,,,,,"https://www.google.com/maps/search/?api=1&query=Samurai%20Ninja%20Museum%20Asakusa%20Tokyo&query_place_id=ChIJm6kfD4IJAWAR8e9bSVIKXXc","Tourist attraction"
"Tokyo Virtual Circuit","4","46","5 Chome-4-6 Nishigotanda","Shinagawa City","Tokyo","JP","http://sunakojukuchou.com/","+81 3-5962-7574","Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Tokyo%20Virtual%20Circuit&query_place_id=ChIJjV18_4OLGGARYGiSK8_j1V8","Tourist attraction"
"Maple Valley","4.3","282","4 Chome-3 Shibakoen","Minato City","Tokyo","JP","https://www.kissport.or.jp/spot/tanbou/2111/","+81 3-3431-4359","Tourist attraction","Park",,,,,,"https://www.google.com/maps/search/?api=1&query=Maple%20Valley&query_place_id=ChIJwaj1yL2LGGARnm1x4JwnHe8","Tourist attraction"
"Ginza Central Street","4.5","78","Ginza, 3 Chome−6, 中央通り","Chuo City","Tokyo","JP",,,"Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Ginza%20Central%20Street&query_place_id=ChIJRQ2BJ-SLGGARBo5lWSuc-jM","Tourist attraction"
"Sky Bus Tokyo Marunouchi Ticket Counter","4.1","87","Marunouchi, 2 Chome−5−2 Mitsubishi Building, １階","Chiyoda City","Tokyo","JP","https://www.skybus.jp/?utm_source=skygmap&utm_medium=skygmap&utm_campaign=skygmap","+81 3-3215-0008","Tourist attraction","Bus company","Bus tour agency","Event ticket seller","Ticket office",,,"https://www.google.com/maps/search/?api=1&query=Sky%20Bus%20Tokyo%20Marunouchi%20Ticket%20Counter&query_place_id=ChIJm-8yGPqLGGARSYfAiNpcJfM","Tourist attraction"
"Asakusa Culture Tourist Information Center","4.5","4258","Kaminarimon, 2 Chome−18−9 浅草文化観光センタ","Taito City","Tokyo","JP","https://www.city.taito.lg.jp/bunka_kanko/kankoinfo/info/oyakudachi/kankocenter/a-tic-gaiyo.html","+81 3-3842-5566","Tourist attraction","Luggage storage facility","Observation deck","Tourist information center","Wheelchair rental service","Wi-Fi spot",,"https://www.google.com/maps/search/?api=1&query=Asakusa%20Culture%20Tourist%20Information%20Center&query_place_id=ChIJr2cNBsGOGGARSX3xfkspQHc","Tourist attraction"
"Grand Fountain","4","79","1-6 Hibiyakoen","Chiyoda City","Tokyo","JP","https://www.tokyo-park.or.jp/park/format/view037.html","+81 3-3501-6428","Tourist attraction",,,,,,,"https://www.google.com/maps/search/?api=1&query=Grand%20Fountain&query_place_id=ChIJr62ciOSLGGARIs6ax4bn-a8","Tourist attraction"
